"","SRR8581315","SRR8581316","SRR8581317","SRR8581318","SRR8581319","SRR8581320"
"ENSMUSG00000026509",10.8743793551534,10.7640752529953,10.7805756083111,10.3612239427889,10.3328678374963,10.4696229767493
"ENSMUSG00000051590",5.362439305367,5.54170303282074,5.7940279198905,5.72713226145993,5.86730142482859,5.51845833253231
"ENSMUSG00000041859",7.39980058558032,7.90575080334133,7.87610962071485,7.72907578875068,7.86434415343121,8.00580288815438
"ENSMUSG00000025982",12.5517046833445,12.4174393334101,12.67656856737,12.752782793897,12.8149793878244,12.7094954688895
"ENSMUSG00000103030",5.961635252387,6.25436633219203,6.0318881547151,5.72713226145993,5.96520516876134,5.72576194784476
"ENSMUSG00000026238",12.602555559017,12.701015716033,12.4218911549033,12.6500829430489,12.7833121806742,12.5170753082459
"ENSMUSG00000025931",5.75218312825357,5.95748861283739,5.68070715659444,5.63252167230853,5.62036917591634,5.88246440397939
"ENSMUSG00000041809",5.61803903306863,5.54170303282074,6.12973189185945,5.45165147580035,6.0801823501825,5.63132604504604
"ENSMUSG00000026239",8.22227541975031,8.58284365789171,8.1796116175625,7.78460675504386,7.68679856251674,7.91010806540455
"ENSMUSG00000025981",9.83324324223673,9.83986942753618,9.66958975772186,10.6378045615078,10.5318824037824,10.1903863769892
"ENSMUSG00000101122",6.33373416310237,6.48255210948882,6.57377035415707,7.3844960346285,6.98434065774997,7.11956911237569
"ENSMUSG00000041779",9.00708445803608,8.99600487491826,9.08458456131111,9.03465992298126,9.2831186058781,8.98402402108766
"ENSMUSG00000036104",9.85912699892792,9.55028090313852,9.94154617426266,10.2081848005745,10.0103982655223,10.0218196847911
"ENSMUSG00000025933",7.84350456762,7.84319251339646,7.74811042971661,7.72907578875068,7.84570519303076,7.68180588648454
"ENSMUSG00000026240",9.12751052989132,9.48688018144188,9.02412455951943,9.07892944414034,8.99214069019113,8.85037408992
"ENSMUSG00000070565",8.21752524881299,7.95909094510627,8.46976026119324,8.71829589076682,8.8396658023414,8.48595175709415
"ENSMUSG00000025980",13.8401220813022,13.2661460234029,13.2433986785194,13.8657620347666,13.7367810563283,13.7422752287809
"ENSMUSG00000073676",11.933003049853,12.1006716202695,11.5182785087264,10.861894205363,10.8889142710947,10.8999826849284
"ENSMUSG00000089670",6.0489436127431,6.39704600967399,6.0573582861746,6.29845678077708,6.71993646764172,6.95373319112533
